model,task,split,threshold,recall,precision,ap50,f1
CanopyRS-DINO-SwinL,TreeBoxes,random,0.05,0.7489848732948303,0.347793698310852,0.2249706387519836,0.4750133268572775
CanopyRS-DINO-SwinL,TreeBoxes,random,0.1,0.7267757058143616,0.4174186885356903,0.2249706387519836,0.5302766094269455
CanopyRS-DINO-SwinL,TreeBoxes,random,0.15,0.6982107162475586,0.4890862107276916,0.2249706387519836,0.5752313945071036
CanopyRS-DINO-SwinL,TreeBoxes,random,0.2,0.6592870354652405,0.5882481932640076,0.2249706387519836,0.6217450193368138
CanopyRS-DINO-SwinL,TreeBoxes,random,0.25,0.6119346618652344,0.6691805720329285,0.2165351510047912,0.6392786163782443
CanopyRS-DINO-SwinL,TreeBoxes,random,0.3,0.5899656414985657,0.727648138999939,0.2067083865404129,0.6516134051784436
CanopyRS-DINO-SwinL,TreeBoxes,random,0.4,0.4960071146488189,0.8323889970779419,0.1776022911071777,0.6216080596161486
CanopyRS-DINO-SwinL,TreeBoxes,random,0.5,0.3640264868736267,0.7970196008682251,0.1430039405822754,0.4997842003632664
CanopyRS-DINO-SwinL,TreeBoxes,random,0.6,0.2822913229465484,0.842424213886261,0.1115922480821609,0.4228785644587559
CanopyRS-DINO-SwinL,TreeBoxes,random,0.7,0.2192499488592147,0.8181818127632141,0.0861107483506202,0.3458277011402348
CanopyRS-DINO-SwinL,TreeBoxes,random,0.8,0.1420761942863464,0.6060606241226196,0.0589097999036312,0.2301899461792822
CanopyRS-DINO-SwinL,TreeBoxes,random,0.9,0.0426110699772834,0.3333333432674408,0.0297029707580804,0.0755627157384289
DeepForest-pretrained,TreeBoxes,random,0.05,0.361776053905487,0.5266498327255249,0.062714509665966,0.4289143329578764
DeepForest-pretrained,TreeBoxes,random,0.1,0.3385704457759857,0.5916345119476318,0.062714509665966,0.4306791934043498
DeepForest-pretrained,TreeBoxes,random,0.15,0.3081769943237304,0.6257491111755371,0.0600289180874824,0.4129694611753716
DeepForest-pretrained,TreeBoxes,random,0.2,0.2843596339225769,0.6314451694488525,0.0569897927343845,0.392130542590812
DeepForest-pretrained,TreeBoxes,random,0.25,0.2618886530399322,0.6600568890571594,0.0569897927343845,0.3749926686812986
DeepForest-pretrained,TreeBoxes,random,0.3,0.2303708344697952,0.6947405338287354,0.0535883866250515,0.3460079769908735
DeepForest-pretrained,TreeBoxes,random,0.4,0.1832537353038787,0.7089947462081909,0.0447523556649684,0.2912326291288151
DeepForest-pretrained,TreeBoxes,random,0.5,0.1247707307338714,0.5454545617103577,0.0337204560637474,0.2030862308956747
DeepForest-pretrained,TreeBoxes,random,0.6,0.0718023106455802,0.3030303120613098,0.0213750340044498,0.1160959600822564
DeepForest-pretrained,TreeBoxes,random,0.7,0.0345133282244205,0.2121212184429168,0.0099009899422526,0.0593672649222092
DeepForest-pretrained,TreeBoxes,random,0.8,0.0069788796827197,0.0606060624122619,0.0099009899422526,0.01251646903904
DeepForest-pretrained,TreeBoxes,random,0.9,0.0,0.0,0.0,0.0
SAM3,TreeBoxes,random,0.05,0.5836126208305359,0.3861856460571289,0.1428970098495483,0.4648035054668573
SAM3,TreeBoxes,random,0.1,0.552682638168335,0.4713257849216461,0.1399857550859451,0.5087723350189018
SAM3,TreeBoxes,random,0.15,0.516341507434845,0.5487620830535889,0.1366145014762878,0.5320583720068731
SAM3,TreeBoxes,random,0.2,0.4805628955364227,0.5006212592124939,0.128871202468872,0.4903870506465937
SAM3,TreeBoxes,random,0.25,0.4525080621242523,0.5565528273582458,0.1198984459042549,0.4991663912508058
SAM3,TreeBoxes,random,0.3,0.4334744215011596,0.5674907565116882,0.1147458925843238,0.4915110591049993
SAM3,TreeBoxes,random,0.4,0.3926622867584228,0.615310549736023,0.0972695350646972,0.4793963463662453
SAM3,TreeBoxes,random,0.5,0.3424805402755737,0.604263961315155,0.0773929953575134,0.4371795085000349
SAM3,TreeBoxes,random,0.6,0.2314062267541885,0.627435028553009,0.0411509908735752,0.3381122450595942
SAM3,TreeBoxes,random,0.7,0.1316433399915695,0.3762626051902771,0.0188737623393535,0.1950458211054928
SAM3,TreeBoxes,random,0.8,0.0547166615724563,0.1969697028398513,0.0099009899422526,0.0856424987144707
SAM3,TreeBoxes,random,0.9,0.0272727273404598,0.0909090936183929,0.0099009899422526,0.0419580423267635
SAM3,TreePoints,random,0.05,0.6098252013325691,0.5637671947479248,,0.5858924174867789
SAM3,TreePoints,random,0.1,0.545242877677083,0.6421616673469543,,0.5897469011811457
SAM3,TreePoints,random,0.15,0.5024070877581834,0.7280060648918152,,0.5945245402243098
SAM3,TreePoints,random,0.2,0.4425456169992685,0.7686578035354614,,0.561699440671534
SAM3,TreePoints,random,0.25,0.3738661555573344,0.7930616736412048,,0.5081701055115669
SAM3,TreePoints,random,0.3,0.3157297188416123,0.814154326915741,,0.4550072508696914
SAM3,TreePoints,random,0.4,0.2499696594662964,0.6665480136871338,,0.3635866167774738
SAM3,TreePoints,random,0.5,0.1870165925472974,0.5917155146598816,,0.2842071574676209
SAM3,TreePoints,random,0.6,0.1362433805712498,0.5146140456199646,,0.21544736049186
SAM3,TreePoints,random,0.7,0.0844884264050051,0.4433333277702331,,0.141928728552426
