model,task,split,threshold,recall,precision,ap50,f1
SAM3,TreePoints,random,0.8,0.0386743158102035,0.233333334326744,,0.0663511269352681
SAM3,TreePoints,random,0.9,0.0018386007635854,0.0666666701436042,,0.0035785097703734
TreeFormer-pretrained,TreePoints,random,0.05,0.2778089018538594,0.8663759827613831,,0.4207134067226109
TreeFormer-pretrained,TreePoints,random,0.1,0.2778089018538594,0.8663759827613831,,0.4207134067226109
TreeFormer-pretrained,TreePoints,random,0.15,0.273311167024076,0.8839932084083557,,0.4175309807174419
TreeFormer-pretrained,TreePoints,random,0.2,0.2723704859614372,0.8813225626945496,,0.4161353922857373
TreeFormer-pretrained,TreePoints,random,0.25,0.2714695841073989,0.8813225626945496,,0.4150831010132831
TreeFormer-pretrained,TreePoints,random,0.3,0.268371519446373,0.8811088800430298,,0.4114285533531099
TreeFormer-pretrained,TreePoints,random,0.4,0.2518871195614338,0.888060450553894,,0.3924583809829407
TreeFormer-pretrained,TreePoints,random,0.5,0.2301445998251438,0.8898147940635681,,0.3657026688926577
TreeFormer-pretrained,TreePoints,random,0.6,0.1959674244746566,0.9166666865348816,,0.3229036533833505
TreeFormer-pretrained,TreePoints,random,0.7,0.1217886167112737,0.8883333206176758,,0.2142095568830857
TreeFormer-pretrained,TreePoints,random,0.8,0.0235523126088082,0.5285714268684387,,0.0450952516313685
TreeFormer-pretrained,TreePoints,random,0.9,0.0083580991253256,0.3333333432674408,,0.0163073040711566
CanopyRS-DINO-SAM3-SelvaMask,TreePolygons,random,0.05,0.7859001159667969,0.4763228297233581,0.1248256489634513,0.5931474600353397
CanopyRS-DINO-SAM3-SelvaMask,TreePolygons,random,0.1,0.7784615755081177,0.5170308947563171,0.1239668428897857,0.621367849148855
CanopyRS-DINO-SAM3-SelvaMask,TreePolygons,random,0.15,0.7567554712295532,0.6162779331207275,0.1239668428897857,0.6793304463088985
CanopyRS-DINO-SAM3-SelvaMask,TreePolygons,random,0.2,0.755615770816803,0.7132105827331543,0.1217872500419616,0.7338010554128913
CanopyRS-DINO-SAM3-SelvaMask,TreePolygons,random,0.25,0.7327381372451782,0.7603395581245422,0.1192709729075431,0.746283724178253
CanopyRS-DINO-SAM3-SelvaMask,TreePolygons,random,0.3,0.7067229747772217,0.8216509222984314,0.116470843553543,0.759865874634801
CanopyRS-DINO-SAM3-SelvaMask,TreePolygons,random,0.4,0.6190828084945679,0.8831840753555298,0.1064425408840179,0.7279186989564735
CanopyRS-DINO-SAM3-SelvaMask,TreePolygons,random,0.5,0.5256327986717224,0.8990228176116943,0.0965770930051803,0.6633966472876537
CanopyRS-DINO-SAM3-SelvaMask,TreePolygons,random,0.6,0.4713887274265289,0.8988271951675415,0.0878543779253959,0.6184383070140471
CanopyRS-DINO-SAM3-SelvaMask,TreePolygons,random,0.7,0.4208190441131592,0.8934041857719421,0.0806144922971725,0.5721425202567956
CanopyRS-DINO-SAM3-SelvaMask,TreePolygons,random,0.8,0.3538841009140014,0.8678126931190491,0.0700753480195999,0.5027517730522666
CanopyRS-DINO-SAM3-SelvaMask,TreePolygons,random,0.9,0.2341336905956268,0.7483336925506592,0.0528783127665519,0.3566736814668397
Detectree2,TreePolygons,random,0.05,0.5566339492797852,0.5300012826919556,0.1254873275756836,0.542991242006494
Detectree2,TreePolygons,random,0.1,0.5348700881004333,0.6084782481193542,0.1225723177194595,0.56930474094158
Detectree2,TreePolygons,random,0.15,0.4922283887863159,0.6588854193687439,0.1179143488407135,0.5634926904238566
Detectree2,TreePolygons,random,0.2,0.4638963639736175,0.7248338460922241,0.114354096353054,0.5657259870068774
Detectree2,TreePolygons,random,0.25,0.4254408180713653,0.7714073657989502,0.1078361794352531,0.5484207357202175
Detectree2,TreePolygons,random,0.3,0.4034729897975921,0.8072146773338318,0.1053078472614288,0.538023683753318
Detectree2,TreePolygons,random,0.4,0.3566211760044098,0.8651086688041687,0.0967416316270828,0.5050479402652075
Detectree2,TreePolygons,random,0.5,0.3090830147266388,0.8586252927780151,0.0863751098513603,0.4545424440449381
Detectree2,TreePolygons,random,0.6,0.2713897228240967,0.845870852470398,0.0785947367548942,0.4109348548997437
Detectree2,TreePolygons,random,0.7,0.2140605002641677,0.8329694867134094,0.065513327717781,0.340593616703125
Detectree2,TreePolygons,random,0.8,0.1606766134500503,0.7590090036392212,0.0502642467617988,0.2652101849082394
Detectree2,TreePolygons,random,0.9,0.1021338179707527,0.5540540814399719,0.0253146197646856,0.1724739476316464
SAM3,TreePolygons,random,0.05,0.642086923122406,0.4343005120754242,0.1760487407445907,0.5181381171692009
SAM3,TreePolygons,random,0.1,0.5921032428741455,0.5844648480415344,0.1712083965539932,0.5882592508556111
SAM3,TreePolygons,random,0.15,0.5360093712806702,0.733391284942627,0.1626316756010055,0.6193546531075217
SAM3,TreePolygons,random,0.2,0.4769988059997558,0.7843655943870544,0.1520705670118332,0.5932329339169228
SAM3,TreePolygons,random,0.25,0.4240689575672149,0.8063405752182007,0.139572724699974,0.5558214530455302
SAM3,TreePolygons,random,0.3,0.3741244971752167,0.7908124327659607,0.1291893422603607,0.507945616907199
SAM3,TreePolygons,random,0.4,0.274823248386383,0.6784328818321228,0.1084728464484214,0.3911836965674717
SAM3,TreePolygons,random,0.5,0.2212596088647842,0.598325788974762,0.0881720930337905,0.3230543891856573
SAM3,TreePolygons,random,0.6,0.1510821878910064,0.5105105042457581,0.063673585653305,0.2331617166860904
SAM3,TreePolygons,random,0.7,0.112926110625267,0.4020270407199859,0.0420512743294239,0.1763241955354328
SAM3,TreePolygons,random,0.8,0.0760445222258567,0.1734234243631363,0.0183875523507595,0.1057282238362608
SAM3,TreePolygons,random,0.9,0.0436293445527553,0.0675675645470619,0.0099009899422526,0.0530217715236681
