filename,source,n_gt,n_pred,survives,ap40_only,miss
FIN01_clipped_Allen_et_al_2025.tif,Allen et al. 2025,47,91,13,11,67
FIN04_clipped_Allen_et_al_2025.tif,Allen et al. 2025,42,72,18,9,45
FIN09_clipped_Allen_et_al_2025.tif,Allen et al. 2025,123,103,12,34,57
FIN10_clipped_Allen_et_al_2025.tif,Allen et al. 2025,72,75,22,15,38
FIN12_clipped_Allen_et_al_2025.tif,Allen et al. 2025,141,98,16,30,52
FIN18_clipped_Allen_et_al_2025.tif,Allen et al. 2025,84,75,13,15,47
FIN19_clipped_Allen_et_al_2025.tif,Allen et al. 2025,67,72,8,27,37
FIN23_clipped_Allen_et_al_2025.tif,Allen et al. 2025,101,90,16,34,40
FIN25_clipped_Allen_et_al_2025.tif,Allen et al. 2025,98,96,12,28,56
FIN27_clipped_Allen_et_al_2025.tif,Allen et al. 2025,78,79,16,21,42
FIN28_clipped_Allen_et_al_2025.tif,Allen et al. 2025,51,90,18,14,58
SPA01_clipped_Allen_et_al_2025.tif,Allen et al. 2025,86,29,3,5,21
SPA02_clipped_Allen_et_al_2025.tif,Allen et al. 2025,39,71,10,11,50
SPA03_clipped_Allen_et_al_2025.tif,Allen et al. 2025,36,95,4,5,86
SPA06_clipped_Allen_et_al_2025.tif,Allen et al. 2025,41,70,8,4,58
SPA13_clipped_Allen_et_al_2025.tif,Allen et al. 2025,79,94,14,16,64
SPA16_clipped_Allen_et_al_2025.tif,Allen et al. 2025,70,65,20,10,35
SPA17_clipped_Allen_et_al_2025.tif,Allen et al. 2025,125,85,20,22,43
SPA19_clipped_Allen_et_al_2025.tif,Allen et al. 2025,49,56,9,8,39
SPA23_clipped_Allen_et_al_2025.tif,Allen et al. 2025,35,81,14,4,63
SPA24_clipped_Allen_et_al_2025.tif,Allen et al. 2025,29,174,12,3,159
SPA26_clipped_Allen_et_al_2025.tif,Allen et al. 2025,58,61,9,9,43
SPA32_clipped_Allen_et_al_2025.tif,Allen et al. 2025,21,101,10,3,88
SPA36_clipped_Allen_et_al_2025.tif,Allen et al. 2025,37,199,19,5,175
ortho_3919_14000_30000_Frey_et_al_2026.png,Frey et al. 2026,67,83,13,3,67
ortho_3919_16000_30000_Frey_et_al_2026.png,Frey et al. 2026,62,69,9,8,52
ortho_3919_18000_30000_Frey_et_al_2026.png,Frey et al. 2026,64,135,5,5,125
ortho_3919_20000_30000_Frey_et_al_2026.png,Frey et al. 2026,60,100,9,7,84
ortho_3919_14000_32000_Frey_et_al_2026.png,Frey et al. 2026,62,104,4,6,94
ortho_3919_16000_32000_Frey_et_al_2026.png,Frey et al. 2026,54,106,5,8,93
ortho_3919_18000_32000_Frey_et_al_2026.png,Frey et al. 2026,51,91,1,4,86
ortho_3919_20000_32000_Frey_et_al_2026.png,Frey et al. 2026,56,117,7,8,102
ortho_3919_14000_34000_Frey_et_al_2026.png,Frey et al. 2026,65,110,8,7,95
ortho_3919_16000_34000_Frey_et_al_2026.png,Frey et al. 2026,54,103,7,11,85
ortho_3919_18000_34000_Frey_et_al_2026.png,Frey et al. 2026,59,128,5,6,117
ortho_3919_20000_34000_Frey_et_al_2026.png,Frey et al. 2026,65,120,4,6,110
ortho_3919_14000_36000_Frey_et_al_2026.png,Frey et al. 2026,61,92,8,8,76
ortho_3919_16000_36000_Frey_et_al_2026.png,Frey et al. 2026,50,102,7,7,88
ortho_3919_18000_36000_Frey_et_al_2026.png,Frey et al. 2026,55,127,4,8,115
ortho_3919_20000_36000_Frey_et_al_2026.png,Frey et al. 2026,65,119,6,13,100
ortho_3919_14000_38000_Frey_et_al_2026.png,Frey et al. 2026,59,99,8,4,87
ortho_3919_16000_38000_Frey_et_al_2026.png,Frey et al. 2026,59,89,6,7,76
ortho_3919_18000_38000_Frey_et_al_2026.png,Frey et al. 2026,46,157,2,2,153
ortho_3919_20000_38000_Frey_et_al_2026.png,Frey et al. 2026,63,127,5,5,117
ortho_3919_12000_40000_Frey_et_al_2026.png,Frey et al. 2026,67,86,4,11,71
ortho_3919_14000_40000_Frey_et_al_2026.png,Frey et al. 2026,56,108,7,10,91
ortho_3919_16000_40000_Frey_et_al_2026.png,Frey et al. 2026,50,90,7,8,75
ortho_3919_18000_40000_Frey_et_al_2026.png,Frey et al. 2026,57,108,9,8,91
ortho_3919_20000_40000_Frey_et_al_2026.png,Frey et al. 2026,55,124,5,7,112
ortho_3919_12000_42000_Frey_et_al_2026.png,Frey et al. 2026,68,111,5,8,98
ortho_3919_14000_42000_Frey_et_al_2026.png,Frey et al. 2026,47,123,4,6,113
ortho_3919_16000_42000_Frey_et_al_2026.png,Frey et al. 2026,52,109,4,5,100
ortho_3919_18000_42000_Frey_et_al_2026.png,Frey et al. 2026,59,122,5,4,113
ortho_3919_20000_42000_Frey_et_al_2026.png,Frey et al. 2026,68,85,9,2,74
ortho_3919_12000_44000_Frey_et_al_2026.png,Frey et al. 2026,63,121,8,5,108
ortho_3919_14000_44000_Frey_et_al_2026.png,Frey et al. 2026,64,137,7,9,121
ortho_3919_16000_44000_Frey_et_al_2026.png,Frey et al. 2026,54,124,3,9,112
ortho_3919_18000_44000_Frey_et_al_2026.png,Frey et al. 2026,46,122,4,5,113
ortho_3919_20000_44000_Frey_et_al_2026.png,Frey et al. 2026,69,110,11,4,95
