model,score_threshold,recall,precision_mask,precision_plain,f1_reported,f1_plain,AP40_all,AP50_all,AP40_complete,AP50_complete,n_complete_tiles,n_tiles
CanopyRS DINO,0.3,0.5487910651142187,0.8873581726540931,0.5084215721689431,0.67816661932067,0.5278355673739614,0.4065644565050609,0.3126181336936089,0.47313824790125814,0.376261775673643,59,85
SAM3,0.1,0.5375815290861817,0.6134025471704357,0.2784532977237183,0.5729946852535279,0.3668749044807073,0.34476038684260046,0.2521731579202559,0.40910168837757854,0.31366011084335027,59,85
DeepForest (fine-tuned),0.1,0.3283881913426624,0.8178439020172638,0.2043654659294668,0.46861413380394956,0.2519408541392626,0.1494971989458898,0.09852644918778898,0.16346137333690508,0.10779905612930388,59,85
DeepForest (pretrained),0.1,0.2873931281217382,0.966989090453359,0.27898161764581664,0.4430962356604031,0.28312491114001564,0.12051350152958193,0.035325923150518655,0.13013477157501915,0.03592863779014594,59,85
