model,iou,recall,f1_mask,f1_plain,ap_all,ap_complete
CanopyRS DINO,0.25,0.6062974338643519,0.7082468661131409,0.5822497540710704,0.4675579565031186,0.5328941339354454
CanopyRS DINO,0.3,0.5901762922943184,0.700452563447842,0.5672016929323288,0.45025593356292837,0.5158669612445801
CanopyRS DINO,0.35,0.5723615911181035,0.6909138353193048,0.5501522265631847,0.4305442334335469,0.4960948215309894
CanopyRS DINO,0.4,0.5487910651142187,0.67816661932067,0.5278355673739614,0.4065644565050609,0.47313824790125814
CanopyRS DINO,0.45,0.5151914112618036,0.6561743578194059,0.4953450678914063,0.3654293321828285,0.43062862079251046
CanopyRS DINO,0.5,0.4724110525709114,0.6223986093044379,0.4547000579454951,0.3126181336936089,0.376261775673643
CanopyRS DINO,0.55,0.43302330091724095,0.589624901561636,0.4176029321392999,0.2684187644538441,0.3331483592356905
CanopyRS DINO,0.6,0.3786012407549334,0.5376309989237378,0.36592224171280524,0.21413295238329186,0.2751630662454181
CanopyRS DINO,0.65,0.3110834488329055,0.4660012522906468,0.30510265198845693,0.15986175598027383,0.21856946613136638
CanopyRS DINO,0.7,0.2537299604023033,0.3982746630873533,0.25038232126308135,0.1199574614459454,0.17014830970644113
CanopyRS DINO,0.75,0.19558225834754053,0.3222897782464705,0.19529976124571652,0.08143447005416247,0.12276344193261997
CanopyRS DINO,0.8,0.12972093365229903,0.22644765355306512,0.13256897809192336,0.04410173093370234,0.0698310350045477
SAM3,0.25,0.6319662847292176,0.5869074780382135,0.43158791603552227,0.42504598732468424,0.4885422779375809
SAM3,0.3,0.604173640488118,0.5831073326901676,0.412772917957186,0.40295899098835475,0.46662045382771256
SAM3,0.35,0.5752484508091094,0.5819480046951505,0.39314423643687313,0.3776397341105152,0.44173333390810565
SAM3,0.4,0.5375815290861817,0.5729946852535279,0.3668749044807073,0.34476038684260046,0.40910168837757854
SAM3,0.45,0.4908469706475277,0.559824739933816,0.33460218133339203,0.3000087937628678,0.36307160093745633
SAM3,0.5,0.44216622850437826,0.5395645073086379,0.30024983534624133,0.2521731579202559,0.31366011084335027
SAM3,0.55,0.3811104719095778,0.5021562603001596,0.25724291876244726,0.19746937187152044,0.25508481984994547
SAM3,0.6,0.30672209682348195,0.437910835432694,0.2066852686083932,0.14289163978540348,0.19606272397422442
SAM3,0.65,0.23986060866859127,0.3689238353913428,0.16267634998914607,0.10236595548638856,0.14547158487155346
SAM3,0.7,0.16989690185960513,0.28132293398840147,0.11572082233387034,0.06161634058253,0.09034617500475378
SAM3,0.75,0.11185136690588648,0.19567222669849968,0.07736363866139387,0.03388123645983481,0.05168982541769229
SAM3,0.8,0.064556985378755,0.1191195542662633,0.04563666234672373,0.01551238513722986,0.024455452344741
DeepForest (fine-tuned),0.25,0.405937206435087,0.5429792862890999,0.31559766289023994,0.19844183032217189,0.21786315031452175
DeepForest (fine-tuned),0.3,0.377911501692485,0.5183045456656112,0.29356768606863676,0.17902286797210598,0.19888670759795135
DeepForest (fine-tuned),0.35,0.3530075489298864,0.4939011228359484,0.27261164576491553,0.16380250856856113,0.18129716208293722
DeepForest (fine-tuned),0.4,0.3283881913426624,0.46861413380394956,0.2519408541392626,0.1494971989458898,0.16346137333690508
DeepForest (fine-tuned),0.45,0.29601177117013383,0.4335719783900779,0.2268156689493963,0.12642417263833794,0.13911834834841086
DeepForest (fine-tuned),0.5,0.252970379940638,0.3838606062207033,0.19273741480190015,0.09852644918778898,0.10779905612930388
DeepForest (fine-tuned),0.55,0.20966790502267757,0.33000404901229985,0.15642799332577537,0.06968906489752828,0.0759620845974642
DeepForest (fine-tuned),0.6,0.16261389556255185,0.26715784804848275,0.11913610712023183,0.04324830309386413,0.04806206756905268
DeepForest (fine-tuned),0.65,0.11566013769399164,0.19913362577245317,0.08310233263072016,0.025025640396625824,0.027724109324780585
DeepForest (fine-tuned),0.7,0.07748098373892921,0.13920616615062545,0.0552287112323333,0.013844484795572001,0.015335046025293512
DeepForest (fine-tuned),0.75,0.0474009805186108,0.08834593804727081,0.03369888746125532,0.006431080674246033,0.007251662539290244
DeepForest (fine-tuned),0.8,0.025998564121657575,0.04989416823432848,0.017436370412707982,0.0038755217250284776,0.004537422772843207
DeepForest (pretrained),0.25,0.45340608726946124,0.6174233330662933,0.44630329919474815,0.27899717943172186,0.30422280210381897
DeepForest (pretrained),0.3,0.4052485727525206,0.571408813075898,0.39908207130347073,0.2358790085556471,0.25770241854465575
DeepForest (pretrained),0.35,0.3438056923298358,0.5074982297714385,0.3388494924417861,0.17318699308015043,0.1884061993406312
DeepForest (pretrained),0.4,0.2873931281217382,0.4430962356604031,0.28312491114001564,0.12051350152958193,0.13013477157501915
DeepForest (pretrained),0.45,0.21694614143615598,0.35391437785727825,0.2121738111039874,0.06880406284552562,0.0735534382671827
DeepForest (pretrained),0.5,0.161326792952385,0.27593687425589297,0.15547013426412498,0.035325923150518655,0.03592863779014594
DeepForest (pretrained),0.55,0.10192922532475644,0.18378664376714937,0.09774732120123088,0.013763123735422733,0.013648257497841005
DeepForest (pretrained),0.6,0.06229555158201933,0.11662726257446514,0.05948153472545311,0.00721906497610207,0.007485651943081166
DeepForest (pretrained),0.65,0.037610655621987954,0.07214209939027486,0.03501220309987602,0.004542500998917224,0.004458238917584291
DeepForest (pretrained),0.7,0.022343922156462862,0.04354455537257264,0.020794840575209243,0.002143852365544837,0.0020120969989800303
DeepForest (pretrained),0.75,0.012939962730387559,0.025483560360891305,0.01144727079492804,0.0016368572341105077,0.001601630751310425
DeepForest (pretrained),0.8,0.004831751750555563,0.009605758056306927,0.004531888059109188,0.00028221406990963334,0.00012637213385007157
