model,task,eval_split,score_threshold,cutoff,group,n_images,n_gt,n_pred,n_unmatched,n_forgiven,recall,precision,f1
CanopyRS-DINO-SwinL,TreeBoxes,validation,0.3,0.0,overall (macro),85,4422,4506,2186,1965,0.5487910651142187,0.9147698987213968,0.6860220509545197
CanopyRS-DINO-SwinL,TreeBoxes,validation,0.3,0.0,Allen et al. 2025,24,1609,2047,1055,984,0.6529592556203012,0.9233891599659064,0.764977453686818
CanopyRS-DINO-SwinL,TreeBoxes,validation,0.3,0.0,Frey et al. 2026,61,2813,2459,1131,981,0.4446228746081363,0.9061506374768871,0.596540127058116
CanopyRS-DINO-SwinL,TreeBoxes,validation,0.3,0.05,overall (macro),85,4422,4506,2186,1964,0.5487910651142187,0.9143820441114676,0.6859129555419519
CanopyRS-DINO-SwinL,TreeBoxes,validation,0.3,0.05,Allen et al. 2025,24,1609,2047,1055,983,0.6529592556203012,0.9226134507460482,0.7647111295977748
CanopyRS-DINO-SwinL,TreeBoxes,validation,0.3,0.05,Frey et al. 2026,61,2813,2459,1131,981,0.4446228746081363,0.9061506374768871,0.596540127058116
CanopyRS-DINO-SwinL,TreeBoxes,validation,0.3,0.1,overall (macro),85,4422,4506,2186,1963,0.5487910651142187,0.9138782508445165,0.6857711626184554
CanopyRS-DINO-SwinL,TreeBoxes,validation,0.3,0.1,Allen et al. 2025,24,1609,2047,1055,982,0.6529592556203012,0.9216058642121459,0.7643648033246194
CanopyRS-DINO-SwinL,TreeBoxes,validation,0.3,0.1,Frey et al. 2026,61,2813,2459,1131,981,0.4446228746081363,0.9061506374768871,0.596540127058116
CanopyRS-DINO-SwinL,TreeBoxes,validation,0.3,0.15,overall (macro),85,4422,4506,2186,1962,0.5487910651142187,0.9132062078337637,0.6855818635768944
CanopyRS-DINO-SwinL,TreeBoxes,validation,0.3,0.15,Allen et al. 2025,24,1609,2047,1055,981,0.6529592556203012,0.9202617781906405,0.7639021253200284
CanopyRS-DINO-SwinL,TreeBoxes,validation,0.3,0.15,Frey et al. 2026,61,2813,2459,1131,981,0.4446228746081363,0.9061506374768871,0.596540127058116
CanopyRS-DINO-SwinL,TreeBoxes,validation,0.3,0.2,overall (macro),85,4422,4506,2186,1962,0.5487910651142187,0.9132062078337637,0.6855818635768944
CanopyRS-DINO-SwinL,TreeBoxes,validation,0.3,0.2,Allen et al. 2025,24,1609,2047,1055,981,0.6529592556203012,0.9202617781906405,0.7639021253200284
CanopyRS-DINO-SwinL,TreeBoxes,validation,0.3,0.2,Frey et al. 2026,61,2813,2459,1131,981,0.4446228746081363,0.9061506374768871,0.596540127058116
CanopyRS-DINO-SwinL,TreeBoxes,validation,0.3,0.25,overall (macro),85,4422,4506,2186,1958,0.5487910651142187,0.9111748875458645,0.6850086279485265
CanopyRS-DINO-SwinL,TreeBoxes,validation,0.3,0.25,Allen et al. 2025,24,1609,2047,1055,977,0.6529592556203012,0.9161991376148421,0.7624988139834025
CanopyRS-DINO-SwinL,TreeBoxes,validation,0.3,0.25,Frey et al. 2026,61,2813,2459,1131,981,0.4446228746081363,0.9061506374768871,0.596540127058116
CanopyRS-DINO-SwinL,TreeBoxes,validation,0.3,0.3,overall (macro),85,4422,4506,2186,1951,0.5487910651142187,0.9059670398380169,0.683531667647805
CanopyRS-DINO-SwinL,TreeBoxes,validation,0.3,0.3,Allen et al. 2025,24,1609,2047,1055,970,0.6529592556203012,0.9057834421991466,0.7588676219608588
CanopyRS-DINO-SwinL,TreeBoxes,validation,0.3,0.3,Frey et al. 2026,61,2813,2459,1131,981,0.4446228746081363,0.9061506374768871,0.596540127058116
CanopyRS-DINO-SwinL,TreeBoxes,validation,0.3,0.35,overall (macro),85,4422,4506,2186,1944,0.5487910651142187,0.9026169311402319,0.6825759652818315
CanopyRS-DINO-SwinL,TreeBoxes,validation,0.3,0.35,Allen et al. 2025,24,1609,2047,1055,963,0.6529592556203012,0.8990832248035767,0.7565059856455867
CanopyRS-DINO-SwinL,TreeBoxes,validation,0.3,0.35,Frey et al. 2026,61,2813,2459,1131,981,0.4446228746081363,0.9061506374768871,0.596540127058116
CanopyRS-DINO-SwinL,TreeBoxes,validation,0.3,0.4,overall (macro),85,4422,4506,2186,1938,0.5487910651142187,0.8989739637783201,0.6815316978187272
CanopyRS-DINO-SwinL,TreeBoxes,validation,0.3,0.4,Allen et al. 2025,24,1609,2047,1055,957,0.6529592556203012,0.891797290079753,0.7539146492896547
CanopyRS-DINO-SwinL,TreeBoxes,validation,0.3,0.4,Frey et al. 2026,61,2813,2459,1131,981,0.4446228746081363,0.9061506374768871,0.596540127058116
CanopyRS-DINO-SwinL,TreeBoxes,validation,0.3,0.45,overall (macro),85,4422,4506,2186,1925,0.5487910651142187,0.8925110085545858,0.6796660824389931
CanopyRS-DINO-SwinL,TreeBoxes,validation,0.3,0.45,Allen et al. 2025,24,1609,2047,1055,944,0.6529592556203012,0.8788713796322846,0.7492567241104404
CanopyRS-DINO-SwinL,TreeBoxes,validation,0.3,0.45,Frey et al. 2026,61,2813,2459,1131,981,0.4446228746081363,0.9061506374768871,0.596540127058116
CanopyRS-DINO-SwinL,TreeBoxes,validation,0.3,0.5,overall (macro),85,4422,4506,2186,1914,0.5487910651142187,0.8873581726540931,0.67816661932067
CanopyRS-DINO-SwinL,TreeBoxes,validation,0.3,0.5,Allen et al. 2025,24,1609,2047,1055,933,0.6529592556203012,0.868565707831299,0.7454863136208882
CanopyRS-DINO-SwinL,TreeBoxes,validation,0.3,0.5,Frey et al. 2026,61,2813,2459,1131,981,0.4446228746081363,0.9061506374768871,0.596540127058116
CanopyRS-DINO-SwinL,TreeBoxes,validation,0.3,0.55,overall (macro),85,4422,4506,2186,1898,0.5487910651142187,0.8805663114180955,0.6761736873940013
CanopyRS-DINO-SwinL,TreeBoxes,validation,0.3,0.55,Allen et al. 2025,24,1609,2047,1055,917,0.6529592556203012,0.8549819853593039,0.7404378705980744
CanopyRS-DINO-SwinL,TreeBoxes,validation,0.3,0.55,Frey et al. 2026,61,2813,2459,1131,981,0.4446228746081363,0.9061506374768871,0.596540127058116
CanopyRS-DINO-SwinL,TreeBoxes,validation,0.3,0.6,overall (macro),85,4422,4506,2186,1869,0.5487910651142187,0.8705717445899614,0.6732063031459059
CanopyRS-DINO-SwinL,TreeBoxes,validation,0.3,0.6,Allen et al. 2025,24,1609,2047,1055,888,0.6529592556203012,0.8349928517030358,0.7328412093546093
CanopyRS-DINO-SwinL,TreeBoxes,validation,0.3,0.6,Frey et al. 2026,61,2813,2459,1131,981,0.4446228746081363,0.9061506374768871,0.596540127058116
CanopyRS-DINO-SwinL,TreeBoxes,validation,0.3,0.65,overall (macro),85,4422,4506,2186,1821,0.5487910651142187,0.8584566850530402,0.6695528324542498
CanopyRS-DINO-SwinL,TreeBoxes,validation,0.3,0.65,Allen et al. 2025,24,1609,2047,1055,840,0.6529592556203012,0.8107627326291933,0.7233546187488206
CanopyRS-DINO-SwinL,TreeBoxes,validation,0.3,0.65,Frey et al. 2026,61,2813,2459,1131,981,0.4446228746081363,0.9061506374768871,0.596540127058116
CanopyRS-DINO-SwinL,TreeBoxes,validation,0.3,0.7,overall (macro),85,4422,4506,2186,1780,0.5487910651142187,0.8470385154467386,0.6660514658214494
CanopyRS-DINO-SwinL,TreeBoxes,validation,0.3,0.7,Allen et al. 2025,24,1609,2047,1055,799,0.6529592556203012,0.78792639341659,0.7141216677017689
CanopyRS-DINO-SwinL,TreeBoxes,validation,0.3,0.7,Frey et al. 2026,61,2813,2459,1131,981,0.4446228746081363,0.9061506374768871,0.596540127058116
CanopyRS-DINO-SwinL,TreeBoxes,validation,0.3,0.75,overall (macro),85,4422,4506,2186,1735,0.5487910651142187,0.8363701290497807,0.6627278556240036
CanopyRS-DINO-SwinL,TreeBoxes,validation,0.3,0.75,Allen et al. 2025,24,1609,2047,1055,755,0.6529592556203012,0.7674334007576791,0.705583403077722
CanopyRS-DINO-SwinL,TreeBoxes,validation,0.3,0.75,Frey et al. 2026,61,2813,2459,1131,980,0.4446228746081363,0.9053068573418822,0.5963571699874362
CanopyRS-DINO-SwinL,TreeBoxes,validation,0.3,0.8,overall (macro),85,4422,4506,2186,1687,0.5487910651142187,0.8227644179677539,0.6584141390474365
CanopyRS-DINO-SwinL,TreeBoxes,validation,0.3,0.8,Allen et al. 2025,24,1609,2047,1055,710,0.6529592556203012,0.745655846129711,0.6962357057757655
CanopyRS-DINO-SwinL,TreeBoxes,validation,0.3,0.8,Frey et al. 2026,61,2813,2459,1131,977,0.4446228746081363,0.8998729898057968,0.5951734417332362
CanopyRS-DINO-SwinL,TreeBoxes,validation,0.3,0.85,overall (macro),85,4422,4506,2186,1636,0.5487910651142187,0.8128224986260885,0.6552075223817145
CanopyRS-DINO-SwinL,TreeBoxes,validation,0.3,0.85,Allen et al. 2025,24,1609,2047,1055,659,0.6529592556203012,0.7257720074463802,0.6874429592292783
CanopyRS-DINO-SwinL,TreeBoxes,validation,0.3,0.85,Frey et al. 2026,61,2813,2459,1131,977,0.4446228746081363,0.8998729898057968,0.5951734417332362
CanopyRS-DINO-SwinL,TreeBoxes,validation,0.3,0.9,overall (macro),85,4422,4506,2186,1569,0.5487910651142187,0.7981894710537811,0.6504017515037436
CanopyRS-DINO-SwinL,TreeBoxes,validation,0.3,0.9,Allen et al. 2025,24,1609,2047,1055,595,0.6529592556203012,0.7001433862170883,0.6757286404688393
CanopyRS-DINO-SwinL,TreeBoxes,validation,0.3,0.9,Frey et al. 2026,61,2813,2459,1131,974,0.4446228746081363,0.8962355558904741,0.5943756926491676
CanopyRS-DINO-SwinL,TreeBoxes,validation,0.3,0.95,overall (macro),85,4422,4506,2186,1516,0.5487910651142187,0.7807975435019652,0.6445523265771357
CanopyRS-DINO-SwinL,TreeBoxes,validation,0.3,0.95,Allen et al. 2025,24,1609,2047,1055,549,0.6529592556203012,0.6793598986932282,0.6658980054633729
CanopyRS-DINO-SwinL,TreeBoxes,validation,0.3,0.95,Frey et al. 2026,61,2813,2459,1131,967,0.4446228746081363,0.8822351883107022,0.5912643657517552
CanopyRS-DINO-SwinL,TreeBoxes,validation,0.3,1.0,overall (macro),85,4422,4506,2186,1375,0.5487910651142187,0.7433844274885577,0.6314354885790731
CanopyRS-DINO-SwinL,TreeBoxes,validation,0.3,1.0,Allen et al. 2025,24,1609,2047,1055,428,0.6529592556203012,0.6270221020414899,0.6397278875286067
CanopyRS-DINO-SwinL,TreeBoxes,validation,0.3,1.0,Frey et al. 2026,61,2813,2459,1131,947,0.4446228746081363,0.8597467529356254,0.5861269147229112
CanopyRS-DINO-SwinL,TreeBoxes,validation,0.3,1.0001,overall (macro),85,4422,4506,2186,0,0.5487910651142187,0.5084215721689431,0.5278355673739614
CanopyRS-DINO-SwinL,TreeBoxes,validation,0.3,1.0001,Allen et al. 2025,24,1609,2047,1055,0,0.6529592556203012,0.4812286500527037,0.5540928439633154
CanopyRS-DINO-SwinL,TreeBoxes,validation,0.3,1.0001,Frey et al. 2026,61,2813,2459,1131,0,0.4446228746081363,0.5356144942851825,0.48589548549802125
DeepForest-pretrained,TreeBoxes,validation,0.1,0.0,overall (macro),85,4422,4806,3676,3676,0.2873931281217382,1.0,0.44647298768952537
DeepForest-pretrained,TreeBoxes,validation,0.1,0.0,Allen et al. 2025,24,1609,1345,838,838,0.3562447321086805,1.0,0.5253398943047595
DeepForest-pretrained,TreeBoxes,validation,0.1,0.0,Frey et al. 2026,61,2813,3461,2838,2838,0.21854152413479583,1.0,0.35869360182857524
DeepForest-pretrained,TreeBoxes,validation,0.1,0.05,overall (macro),85,4422,4806,3676,3669,0.2873931281217382,0.992272546640419,0.4456981487470412
DeepForest-pretrained,TreeBoxes,validation,0.1,0.05,Allen et al. 2025,24,1609,1345,838,832,0.3562447321086805,0.9861844375431331,0.5234138511060901
DeepForest-pretrained,TreeBoxes,validation,0.1,0.05,Frey et al. 2026,61,2813,3461,2838,2837,0.21854152413479583,0.9983606557377049,0.3585879998406972
DeepForest-pretrained,TreeBoxes,validation,0.1,0.1,overall (macro),85,4422,4806,3676,3667,0.2873931281217382,0.9895939752118477,0.4454273772446464
DeepForest-pretrained,TreeBoxes,validation,0.1,0.1,Allen et al. 2025,24,1609,1345,838,830,0.3562447321086805,0.9808272946859903,0.5226562965017453
DeepForest-pretrained,TreeBoxes,validation,0.1,0.1,Frey et al. 2026,61,2813,3461,2838,2837,0.21854152413479583,0.9983606557377049,0.3585879998406972
DeepForest-pretrained,TreeBoxes,validation,0.1,0.15,overall (macro),85,4422,4806,3676,3663,0.2873931281217382,0.9857597136557488,0.4450377965435636
DeepForest-pretrained,TreeBoxes,validation,0.1,0.15,Allen et al. 2025,24,1609,1345,838,827,0.3562447321086805,0.9747981158360878,0.5217964157536775
DeepForest-pretrained,TreeBoxes,validation,0.1,0.15,Frey et al. 2026,61,2813,3461,2838,2836,0.21854152413479583,0.9967213114754098,0.3584821129465294
DeepForest-pretrained,TreeBoxes,validation,0.1,0.2,overall (macro),85,4422,4806,3676,3662,0.2873931281217382,0.9842906965617317,0.44488791439399006
DeepForest-pretrained,TreeBoxes,validation,0.1,0.2,Allen et al. 2025,24,1609,1345,838,826,0.3562447321086805,0.9718600816480536,0.5213745644886241
DeepForest-pretrained,TreeBoxes,validation,0.1,0.2,Frey et al. 2026,61,2813,3461,2838,2836,0.21854152413479583,0.9967213114754098,0.3584821129465294
DeepForest-pretrained,TreeBoxes,validation,0.1,0.25,overall (macro),85,4422,4806,3676,3662,0.2873931281217382,0.9842906965617317,0.44488791439399006
DeepForest-pretrained,TreeBoxes,validation,0.1,0.25,Allen et al. 2025,24,1609,1345,838,826,0.3562447321086805,0.9718600816480536,0.5213745644886241
DeepForest-pretrained,TreeBoxes,validation,0.1,0.25,Frey et al. 2026,61,2813,3461,2838,2836,0.21854152413479583,0.9967213114754098,0.3584821129465294
DeepForest-pretrained,TreeBoxes,validation,0.1,0.3,overall (macro),85,4422,4806,3676,3658,0.2873931281217382,0.9796847056146283,0.44441571720872464
DeepForest-pretrained,TreeBoxes,validation,0.1,0.3,Allen et al. 2025,24,1609,1345,838,822,0.3562447321086805,0.9626480997538467,0.5200396971260287
DeepForest-pretrained,TreeBoxes,validation,0.1,0.3,Frey et al. 2026,61,2813,3461,2838,2836,0.21854152413479583,0.9967213114754098,0.3584821129465294
DeepForest-pretrained,TreeBoxes,validation,0.1,0.35,overall (macro),85,4422,4806,3676,3658,0.2873931281217382,0.9796847056146283,0.44441571720872464
DeepForest-pretrained,TreeBoxes,validation,0.1,0.35,Allen et al. 2025,24,1609,1345,838,822,0.3562447321086805,0.9626480997538467,0.5200396971260287
DeepForest-pretrained,TreeBoxes,validation,0.1,0.35,Frey et al. 2026,61,2813,3461,2838,2836,0.21854152413479583,0.9967213114754098,0.3584821129465294
DeepForest-pretrained,TreeBoxes,validation,0.1,0.4,overall (macro),85,4422,4806,3676,3654,0.2873931281217382,0.9754581808905707,0.4439793916472062
DeepForest-pretrained,TreeBoxes,validation,0.1,0.4,Allen et al. 2025,24,1609,1345,838,818,0.3562447321086805,0.9541950503057315,0.5187982914396843
DeepForest-pretrained,TreeBoxes,validation,0.1,0.4,Frey et al. 2026,61,2813,3461,2838,2836,0.21854152413479583,0.9967213114754098,0.3584821129465294
DeepForest-pretrained,TreeBoxes,validation,0.1,0.45,overall (macro),85,4422,4806,3676,3649,0.2873931281217382,0.971494334619739,0.4435675213905114
DeepForest-pretrained,TreeBoxes,validation,0.1,0.45,Allen et al. 2025,24,1609,1345,838,813,0.3562447321086805,0.9462673577640682,0.5176193971493706
DeepForest-pretrained,TreeBoxes,validation,0.1,0.45,Frey et al. 2026,61,2813,3461,2838,2836,0.21854152413479583,0.9967213114754098,0.3584821129465294
DeepForest-pretrained,TreeBoxes,validation,0.1,0.5,overall (macro),85,4422,4806,3676,3644,0.2873931281217382,0.966989090453359,0.4430962356604031
DeepForest-pretrained,TreeBoxes,validation,0.1,0.5,Allen et al. 2025,24,1609,1345,838,808,0.3562447321086805,0.9372568694313083,0.5162619388643326
DeepForest-pretrained,TreeBoxes,validation,0.1,0.5,Frey et al. 2026,61,2813,3461,2838,2836,0.21854152413479583,0.9967213114754098,0.3584821129465294
DeepForest-pretrained,TreeBoxes,validation,0.1,0.55,overall (macro),85,4422,4806,3676,3637,0.2873931281217382,0.960570063806488,0.4424188745357183
DeepForest-pretrained,TreeBoxes,validation,0.1,0.55,Allen et al. 2025,24,1609,1345,838,801,0.3562447321086805,0.9244188161375662,0.5142948496693358
DeepForest-pretrained,TreeBoxes,validation,0.1,0.55,Frey et al. 2026,61,2813,3461,2838,2836,0.21854152413479583,0.9967213114754098,0.3584821129465294
DeepForest-pretrained,TreeBoxes,validation,0.1,0.6,overall (macro),85,4422,4806,3676,3624,0.2873931281217382,0.9514665812776621,0.441446202539349
DeepForest-pretrained,TreeBoxes,validation,0.1,0.6,Allen et al. 2025,24,1609,1345,838,788,0.3562447321086805,0.9062118510799145,0.5114365157909727
DeepForest-pretrained,TreeBoxes,validation,0.1,0.6,Frey et al. 2026,61,2813,3461,2838,2836,0.21854152413479583,0.9967213114754098,0.3584821129465294
DeepForest-pretrained,TreeBoxes,validation,0.1,0.65,overall (macro),85,4422,4806,3676,3604,0.2873931281217382,0.9368085016357134,0.43984964435877866
DeepForest-pretrained,TreeBoxes,validation,0.1,0.65,Allen et al. 2025,24,1609,1345,838,770,0.3562447321086805,0.8799782194687086,0.5071700127490781
DeepForest-pretrained,TreeBoxes,validation,0.1,0.65,Frey et al. 2026,61,2813,3461,2838,2834,0.21854152413479583,0.9936387838027182,0.3582822338059046
DeepForest-pretrained,TreeBoxes,validation,0.1,0.7,overall (macro),85,4422,4806,3676,3595,0.2873931281217382,0.9324221105509527,0.43936441943895976
DeepForest-pretrained,TreeBoxes,validation,0.1,0.7,Allen et al. 2025,24,1609,1345,838,761,0.3562447321086805,0.8712054372991873,0.5057025618758865
DeepForest-pretrained,TreeBoxes,validation,0.1,0.7,Frey et al. 2026,61,2813,3461,2838,2834,0.21854152413479583,0.9936387838027182,0.3582822338059046
DeepForest-pretrained,TreeBoxes,validation,0.1,0.75,overall (macro),85,4422,4806,3676,3581,0.2873931281217382,0.9243802994193049,0.4384657061894931
DeepForest-pretrained,TreeBoxes,validation,0.1,0.75,Allen et al. 2025,24,1609,1345,838,747,0.3562447321086805,0.8551218150358917,0.5029569994909114
DeepForest-pretrained,TreeBoxes,validation,0.1,0.75,Frey et al. 2026,61,2813,3461,2838,2834,0.21854152413479583,0.9936387838027182,0.3582822338059046
